,id,approval,toxic,obscene,threat,insult,hate,offensive,neither
46,47,0.00046208026,0.035912126,0.0010570709,0.00021856789,0.0028629594,0.0010036572,0.00025400036,0.95822954
47,48,1.3921807e-05,0.0001167677,2.8741837e-05,7.0483147e-06,2.5806781e-05,1.52056855e-05,1.1486296e-05,0.9997811
48,49,8.098171e-05,6.666865e-05,1.2983902e-05,6.608031e-06,1.8408864e-05,1.2509656e-05,1.5291133e-05,0.9997867
49,50,1.4482861e-05,7.693128e-05,2.0852298e-05,6.1261867e-06,1.9713583e-05,1.3882678e-05,1.2938648e-05,0.99983513
50,51,6.6289715e-05,0.0007659571,8.92103e-05,1.2888034e-05,9.3786824e-05,6.3368265e-05,5.2940763e-05,0.9988556
51,52,1.7997756e-05,0.00040752997,6.8028356e-05,1.0792389e-05,6.0533956e-05,3.2749558e-05,1.5371763e-05,0.9993869
52,53,1.4399535e-05,9.5385236e-05,2.6227715e-05,6.137915e-06,2.3290624e-05,1.3678526e-05,1.0890195e-05,0.99981004
53,54,4.3487813e-05,0.00010315248,1.8384295e-05,6.512086e-06,2.3519278e-05,1.39531285e-05,1.4104482e-05,0.9997768
54,55,1.4134665e-05,0.000114117494,2.8277676e-05,6.1409223e-06,2.5765785e-05,2.174909e-05,1.6303256e-05,0.99977344
55,56,0.00034724563,0.0011203423,8.556314e-05,1.8276958e-05,0.00010052011,5.321864e-05,3.20087e-05,0.99824274
56,57,2.0105643e-05,9.1670794e-05,1.7732762e-05,6.0250295e-06,2.330859e-05,1.9164274e-05,1.814406e-05,0.99980384
57,58,8.858588e-05,6.9746566e-05,1.1935599e-05,6.205225e-06,1.8368635e-05,1.5754496e-05,1.7158914e-05,0.99977225
58,59,1.6013822e-05,0.00014554155,2.9037605e-05,6.972835e-06,3.0122716e-05,2.1783908e-05,1.3912824e-05,0.9997365
59,60,3.0757776e-05,6.995442e-05,1.6391603e-05,5.847695e-06,1.7744012e-05,1.1407162e-05,1.1588389e-05,0.9998362
60,61,2.2283826e-05,0.0004540658,5.983206e-05,1.284357e-05,7.277051e-05,3.189546e-05,1.6014843e-05,0.9993303
61,62,1.4858712e-05,9.04781e-05,2.3216764e-05,6.0946604e-06,2.147312e-05,1.3613929e-05,1.2271065e-05,0.999818
62,63,2.1250413e-05,9.305836e-05,2.0432559e-05,6.0806856e-06,2.0607786e-05,1.5163467e-05,1.41107e-05,0.9998093
